ID,Latitude,Longitude
1,30.362663,-97.730279
2,30.234831,-97.734049
3,30.200696,-97.841402
4,30.19098,-97.83936
5,30.507856,-97.740639
6,30.225862,-97.742968
7,30.240804,-97.73183
8,30.34558,-97.734223
9,30.186435,-97.836985
10,30.196771,-97.747262
11,30.158794,-97.844754
12,30.38444,-97.658601
13,30.449156,-97.766311
14,30.413541,-97.697634
15,30.434844,-97.743253
16,30.150636,-97.739641
17,30.288849,-97.751217
18,30.381159,-97.705497
19,30.211225,-97.840946
20,30.337514,-97.979357
21,30.154007,-97.828815
22,30.360358,-97.985019
23,30.373578,-97.648713
24,30.160841,-97.824659
26,30.400211,-97.700686
27,30.20369,-97.83286
28,30.466493,-97.78054
29,30.189417,-97.751096
30,30.274882,-97.762317
31,30.222135,-97.691753
32,30.365751,-97.649311
33,30.34558,-97.734223
34,30.374054,-97.660152
35,30.444874,-97.7754
36,30.224566,-97.843959
37,30.225391,-97.725819
38,30.327624,-97.733135
39,30.458306,-97.785942
40,30.456471,-97.771713
41,30.314755,-97.687449
42,30.458363,-97.754262
43,30.148786,-97.831784
44,30.225391,-97.725819
45,30.375148,-97.691939
46,30.375562,-97.692616
49,30.152636,-97.748353
50,30.158058,-97.832979
51,30.222231,-97.780878
52,30.146902,-97.739078
53,30.412454,-97.698211
54,30.171221,-97.836431
55,30.342091,-97.718397
56,30.195356,-97.827153
57,30.399656,-97.700494
58,30.204292,-97.780903
59,30.370192,-97.929274
60,30.257277,-97.683848
62,30.36858,-97.946867
64,30.166586,-97.744936
66,30.369413,-97.689647
67,30.155836,-97.83213
68,30.199597,-97.82279
69,30.240934,-97.578125
70,30.318306,-97.682624
71,30.443513,-97.747229
72,30.142019,-97.766592
73,30.142019,-97.766592
74,30.374896,-97.691822
75,30.368797,-97.697288
76,30.375113,-97.648671
77,30.4423,-97.755763
78,30.195642,-97.789655
79,30.204143,-97.869014
80,30.197052,-97.695683
81,30.197196,-97.696504
82,30.354906,-97.618954
83,30.348137,-97.616825
84,30.391931,-97.69784
85,30.330164,-97.96479
86,30.451357,-97.77833
87,30.384628,-97.687098
88,30.337646,-97.865354
89,30.500002,-97.790622
90,30.279453,-97.689423
91,30.279588,-97.689451
92,30.279723,-97.689478
93,30.357861,-97.71237
94,30.153608,-97.839049
95,30.339573,-97.98498
96,30.444083,-97.761581
97,30.259563,-97.739552
98,30.504831,-97.749894
99,30.233058,-97.711289
100,30.264302,-97.629251
101,30.153128,-97.840676
103,30.444749,-97.753609
104,30.226798,-97.874004
105,30.36721,-97.697857
106,30.199923,-97.781979
107,30.452528,-97.79354
108,30.208997,-97.816932
109,30.295073,-97.737873
110,30.225895,-97.854334
111,30.188528,-97.790226
112,30.447918,-97.800073
113,30.204476,-97.807048
114,30.352114,-97.957942
115,30.346125,-97.615738
116,30.204164,-97.783281
117,30.180777,-97.752734
118,30.492465,-97.745098
119,30.184928,-97.838667
120,30.45855,-97.772826
121,30.322954,-97.741282
122,30.196971,-97.797816
123,30.244157,-97.754104
124,30.356464,-97.682909
125,30.283542,-97.834914
126,30.202062,-97.842596
127,30.348201,-97.690649
128,30.196349,-97.794168
129,30.258934,-97.686896
130,30.243333,-97.752258
131,30.362509,-97.718862
132,30.263828,-97.720724
133,30.373621,-97.615241
134,30.446436,-97.760251
135,30.359006,-97.616077
136,30.317307,-97.686996
137,30.234911,-97.764664
138,30.205804,-97.763853
139,30.252437,-97.728376
140,30.344995,-97.615664
141,30.375358,-97.758219
142,30.293176,-97.628342
143,30.225391,-97.725819
144,30.464943,-97.765338
146,30.374442,-97.718674
147,30.276167,-97.706556
148,30.365316,-97.610695
149,30.442346,-97.687051
150,30.385623,-97.667707
151,30.306135,-97.656492
152,30.35537,-97.612572
153,30.40505,-97.646868
154,30.345654,-97.753404
155,30.214573,-97.825964
156,30.348338,-97.617812
157,30.198518,-97.824568
158,30.196031,-97.779257
159,30.326942,-97.680911
160,30.355272,-97.711943
161,30.17462,-97.760138
162,30.354975,-97.752304
163,30.155548,-97.829142
164,30.381865,-97.67025
165,30.491708,-97.796873
166,30.200215,-97.776706
167,30.360343,-97.949864
168,30.283164,-97.810319
169,30.1392,-97.768942
170,30.450002,-97.814627
171,30.209615,-97.795383
172,30.377362,-97.740323
173,30.429641,-97.689642
174,30.246972,-97.744652
175,30.161918,-97.798334
176,30.252141,-97.765711
177,30.469421,-97.783743
178,30.347615,-97.75415
179,30.291085,-97.858717
180,30.429515,-97.691684
181,30.358547,-97.643355
182,30.15603,-97.839535
183,30.244257,-97.875096
184,30.153734,-97.816137
185,30.364591,-97.674823
186,30.335464,-97.64644
187,30.449312,-97.759836
188,30.179969,-97.792427
189,30.246463,-97.780279
190,30.379762,-97.700075
191,30.212205,-97.852039
192,30.274604,-97.729905
193,30.461875,-97.762703
194,30.29356,-97.735269
195,30.155664,-97.744445
196,30.399156,-97.851646
197,30.46599,-97.763119
198,30.160049,-97.834591
199,30.150347,-97.740112
200,30.198521,-97.696516
201,30.353679,-97.717007
202,30.300838,-97.68103
203,30.218893,-97.783195
204,30.287027,-97.677683
205,30.368653,-97.710714
206,30.447117,-97.759138
207,30.189989,-97.738243
208,30.358368,-97.714093
209,30.189137,-97.746251
210,30.356658,-97.711316
211,30.45907,-97.754537
212,30.396329,-97.924939
213,30.444874,-97.7754
214,30.365732,-97.897393
215,30.197779,-97.695808
216,30.22391,-97.804306
217,30.460861,-97.785224
218,30.438275,-97.739428
219,30.148169,-97.740132
220,30.193311,-97.834811
221,30.391175,-97.700939
222,30.416542,-97.728669
223,30.192111,-97.743102
224,30.363756,-97.985031
225,30.497959,-97.787931
226,30.280071,-97.6298
227,30.371326,-97.653318
